Brand,Type,Manufacture_year,Mileage,Price,Body_type,Fuel,Horse_Power,Gear_box,Transmission,Color,Governorate,Address
BMW,Série 5 2.0 L.    10 cv,07-2013,180 000 km,87 000 DT,Berline,Essence,10                                                                            CV,Automatique,Traction,Noir,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Mercedes-Benz,Classe S S350. Toit ouvrant,01-2009,147 000 km,98 000 DT,Berline,Essence,19                                                                            CV,Automatique,Traction,Noir,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Mercedes-Benz,GLA 200 Boite auto,01-2017,130 000 km,97 000 DT,Pick up,Essence,8                                                                            CV,Automatique,Traction,Blanc,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Dacia,Logan,02-2012,262 000 km,14 000 DT,Utilitaire,Diesel,6                                                                            CV,Manuelle,Traction,Gris argent,Ariana,ADRESSE :La soukra-Ariana
MG,5 Luxe,11-2022,95 000 km,60 000 DT,Berline,Essence,7                                                                            CV,Automatique,Traction,Bleu,Ariana,ADRESSE :gabes
Mercedes-Benz,Classe E,04-2011,175 000 km,55 000 DT,Berline,Diesel,9                                                                            CV,Automatique,Traction,Noir,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Opel,Grandland 2020,09-2020,46 000 km,88 000 DT,SUV/4x4,Essence,7                                                                            CV,Manuelle,Traction,Rouge,Tunis,ADRESSE :Le Bardo
Renault,Megane Sedan,06-2005,183 000 km,19 000 DT,Berline,Essence,6                                                                            CV,Manuelle,Traction,Noir,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Nissan,X-trail,06-2010,265 000 km,31 000 DT,SUV/4x4,Diesel,8                                                                            CV,Manuelle,Traction,Noir,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
BMW,Série 1 Sport,06-2010,196 000 km,40 000 DT,Compacte,Diesel,7                                                                            CV,Manuelle,Propulsion,Bleu,Sfax,ADRESSE :Sfax
Faw,Besturn X40 Luxry,06-2022,18 000 km,122 400 DT,SUV/4x4,Essence,7                                                                            CV,Automatique,Traction,Gris Shark,Sfax,ADRESSE :Sfax voiture sous leasing
Mini,5 portes,09-2016,122 000 km,63 000 DT,Citadine,Essence,5                                                                            CV,Automatique,Traction,Rouge,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Land,Rover Range Rover Sport,02-2008,196 000 km,88 000 DT,SUV/4x4,Diesel,13                                                                            CV,Automatique,Traction,Gris anthracite,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Porsche,Macan Personnalise,05-2022,13 000 km,439 000 DT,SUV/4x4,Essence,17                                                                            CV,Automatique,Intégrale,Bleu,Sfax,ADRESSE :Sfax
Renault,Captur,09-2015,90 000 km,39 800 DT,SUV/4x4,Essence,6                                                                            CV,Manuelle,Intégrale,Orange,Ariana,ADRESSE :Ariana
Mercedes-Benz,Classe E E200 AMG,07-2021,45 500 km,245 000 DT,Berline,Diesel,9                                                                            CV,Automatique,Propulsion,Blanc,Sousse,ADRESSE :……:
Mercedes-Benz,Classe C importée,10-2018,148 000 km,98 000 DT,Berline,Diesel,6                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Citroën,Berlingo Utilitaire Premiere main,10-2019,178 000 km,40 000 DT,Monospace,Diesel,5                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Nissan,Qashqai Tn240,02-2020,87 000 km,78 000 DT,SUV/4x4,Essence,6                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Volkswagen,T-roc IQ-DRIVE,03-2020,87 000 km,89 000 DT,SUV/4x4,Essence,6                                                                            CV,Manuelle,Traction,Jaune,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Volkswagen,Golf 7 importée bva tn240,02-2019,98 000 km,79 000 DT,Citadine,Diesel,6                                                                            CV,Automatique,Traction,Noir,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Opel,Astra importée,03-2018,198 000 km,47 000 DT,Citadine,Diesel,6                                                                            CV,Manuelle,Traction,Gris Shark,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Citroën,C-Elysée Purtech,02-2020,118 000 km,33 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Mercedes-Benz,CLA 200 Restylée AMG,02-2016,158 000 km,89 000 DT,Berline,Essence,8                                                                            CV,Automatique,Traction,Noir,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Renault,Symbol Elegance,02-2020,87 000 km,43 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Bleu,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Volkswagen,Polo TDI importée,02-2020,112 000 km,58 500 DT,Citadine,Diesel,4                                                                            CV,Manuelle,Traction,Gris anthracite,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Citroën,C3 Purtech,02-2019,68 000 km,42 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Renault,Clio Limited Fin Serie,01-2020,48 000 km,46 500 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Mercedes-Benz,Classe C Restylée,04-2020,98 000 km,118 000 DT,Berline,Diesel,6                                                                            CV,Automatique,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Seat,Ibiza Style,02-2012,187 000 km,29 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Rouge,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Citroën,C3 Ehdi,02-2019,118 000 km,47 000 DT,Citadine,Diesel,4                                                                            CV,Manuelle,Traction,Noir,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Peugeot,3008 GT Line,09-2019,128 000 km,89 000 DT,SUV/4x4,Diesel,6                                                                            CV,Automatique,Traction,Noir,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Nissan,Qashqai Tn239,02-2020,138 000 km,79 000 DT,SUV/4x4,Diesel,5                                                                            CV,Manuelle,Traction,Noir,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
KIA,Picanto Boite auto,10-2017,158 000 km,36 000 DT,Citadine,Essence,5                                                                            CV,Automatique,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Citroën,C4 Phase 2,02-2017,133 000 km,33 500 DT,Citadine,Essence,6                                                                            CV,Manuelle,Traction,Noir,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Renault,Clio importée,02-2019,148 000 km,45 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Bleu,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Peugeot,208 style importée,10-2019,58 000 km,43 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Peugeot,3008,06-2015,148 000 km,46 500 DT,Compacte,Essence,7                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Nissan,Qashqai Tekna tn240,02-2021,98 000 km,103 000 DT,SUV/4x4,Diesel,6                                                                            CV,Automatique,Traction,Gris Shark,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Peugeot,Expert 2l boite6 importée Tn240,02-2015,148 000 km,43 500 DT,Monospace,Diesel,6                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Peugeot,301 Premiere main,08-2019,87 000 km,29 500 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Bleu,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
BMW,Série 1 116d importée,02-2016,187 000 km,62 000 DT,Citadine,Diesel,5                                                                            CV,Manuelle,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Hyundai,Grand i10 Dans l'emballage 10km,07-2023,10 000 km,52 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Gris Shark,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Mercedes-Benz,Classe A AMG Pack Night,02-2020,58 000 km,125 000 DT,Citadine,Diesel,6                                                                            CV,Automatique,Traction,Blanc,Nabeul,ADRESSE :Showroom Ben Amou Auto Route de Beni Khiar Nabeul à côté du kiosque Shell
Land,Rover Range Rover V8 4.2 SUPERCHARGED,04-2010,52 000 km,189 000 DT,SUV/4x4,Essence,32                                                                            CV,Automatique,Intégrale,Noir,Nabeul,ADRESSE :Hammamet
Mazda,2 Sedan,05-2017,277 000 km,44 000 DT,Berline,Essence,6                                                                            CV,Manuelle,Traction,Rouge,Zaghouan,ADRESSE :Zaghouan
Audi,A4,01-2013,36 000 km,57 000 DT,Berline,Essence,7                                                                            CV,Manuelle,Propulsion,Marron,Tunis,ADRESSE :Bardo
Seat,Arona,10-2021,22 000 km,78 500 DT,SUV/4x4,Essence,6                                                                            CV,Manuelle,Traction,Noir,Bizerte,ADRESSE :Bizerte
Chery,Tiggo 7 Pro,08-2019,135 000 km,56 500 DT,SUV/4x4,Essence,9                                                                            CV,Manuelle,Traction,Bleu,Bizerte,ADRESSE :Rasjebel
Volkswagen,Jetta,06-2020,17 000 km,86 500 DT,Berline,Essence,7                                                                            CV,Automatique,Traction,Rouge,Bizerte,ADRESSE :Rasjebel
BMW,Série 3 Individuel,09-2009,176 000 km,47 200 DT,Berline,Essence,8                                                                            CV,Automatique,Propulsion,Bleu,Tunis,ADRESSE :Tunis
Hyundai,Tucson N LINE,01-2020,88 000 km,112 000 DT,SUV/4x4,Diesel,7                                                                            CV,Automatique,Traction,Marron,Ben Arous,ADRESSE :borj cedria
Nissan,Juke,05-2014,96 500 km,47 000 DT,SUV/4x4,Essence,7                                                                            CV,Manuelle,Traction,Noir,Ariana,ADRESSE :Ariana cité Lagazelle
Citroën,Berlingo Utilitaire,12-2015,176 000 km,28 900 DT,Utilitaire,Diesel,6                                                                            CV,Manuelle,Traction,Noir,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Seat,Ibiza,08-2019,100 000 km,42 500 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Noir,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Audi,A3,08-2018,55 000 km,89 900 DT,Citadine,Essence,6                                                                            CV,Automatique,Traction,Blanc,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Fiat,Tipo Berline,05-2021,123 000 km,39 900 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Noir,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Volkswagen,Golf 7,11-2014,169 000 km,57 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Gris argent,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Volkswagen,Amarok,08-2022,30 000 km,146 500 DT,Pick up,Diesel,7                                                                            CV,Automatique,Traction,Blanc,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Renault,Megane coupé,10-2013,171 000 km,31 900 DT,Citadine,Essence,7                                                                            CV,Manuelle,Traction,Rouge,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Haval,H6,02-2017,98 000 km,65 000 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Traction,Noir,Ben Arous,"ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255

VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802"
Mazda,CX-3,12-2017,98 000 km,68 500 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Traction,Noir,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Audi,Q2,12-2018,60 000 km,114 000 DT,SUV/4x4,Essence,7                                                                            CV,Automatique,Traction,Blanc,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Volkswagen,Golf 8,02-2022,23 000 km,105 000 DT,Citadine,Essence,6                                                                            CV,Manuelle,Traction,Gris anthracite,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Peugeot,208,06-2019,95 000 km,34 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
MG,ZS,02-2021,28 000 km,78 900 DT,SUV/4x4,Essence,7                                                                            CV,Automatique,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Citroën,C3,04-2019,45 000 km,48 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Suzuki,Celerio,06-2021,50 000 km,32 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Orange,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mercedes-Benz,Classe C coupé,10-2016,153 000 km,130 000 DT,Berline,Essence,8                                                                            CV,Automatique,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Citroën,C-Elysée,08-2019,97 000 km,26 900 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mercedes-Benz,Classe C,10-2005,305 000 km,32 000 DT,Berline,Essence,10                                                                            CV,Automatique,Traction,Noir,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Ford,Fusion,11-2015,118 000 km,49 900 DT,Berline,Essence,9                                                                            CV,Manuelle,Traction,Noir,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Renault,Megane,05-2021,104 000 km,61 900 DT,Citadine,Essence,7                                                                            CV,Automatique,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mazda,CX-3,12-2017,116 000 km,59 900 DT,Citadine,Diesel,6                                                                            CV,Automatique,Traction,Bleu,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mercedes-Benz,Classe E,10-2006,218 000 km,45 900 DT,Berline,Essence,10                                                                            CV,Automatique,Traction,Noir,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
BMW,X1,09-2010,188 000 km,53 000 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Chery,Tiggo 3,09-2019,60 000 km,55 000 DT,SUV/4x4,Essence,8                                                                            CV,Manuelle,Traction,Gris argent,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Nissan,Qashqai,05-2014,213 000 km,51 900 DT,SUV/4x4,Essence,6                                                                            CV,Manuelle,Traction,Marron,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mazda,CX-9,12-2017,63 000 km,128 900 DT,SUV/4x4,Essence,15                                                                            CV,Automatique,Traction,Noir,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Fiat,Grande Punto,01-2017,174 000 km,26 900 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Porsche,Cayenne,10-2010,221 000 km,148 000 DT,SUV/4x4,Diesel,15                                                                            CV,Automatique,Traction,Noir,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mazda,BT-50,05-2016,202 000 km,67 000 DT,Pick up,Diesel,9                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Volkswagen,Golf 7,11-2015,193 000 km,49 000 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Noir,Ariana,ADRESSE :VOC TUNISIE AUTO PRIX ENNASER ROUTE X20 ENTRE ENNASER ET JARDINS DEL MENZAH 2 EN FACE DU LAVAGE 22801802
Mercedes-Benz,CLA,05-2014,111 000 km,94 000 DT,Berline,Diesel,9                                                                            CV,Automatique,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Audi,A5 Sportback,01-2010,230 000 km,41 000 DT,Berline,Essence,13                                                                            CV,Automatique,Traction,Noir,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Fiat,Fiorino,01-2022,58 000 km,38 000 DT,Utilitaire,Diesel,5                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Seat,Ibiza,10-2019,97 000 km,52 900 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Ford,Ka,03-2014,212 000 km,24 500 DT,Monospace,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Mercedes-Benz,Classe C,06-2007,182 000 km,41 500 DT,Berline,Essence,11                                                                            CV,Automatique,Traction,Noir,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Volkswagen,Polo,11-2019,89 000 km,63 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
Volkswagen,Tiguan,09-2010,97 000 km,47 000 DT,SUV/4x4,Essence,11                                                                            CV,Manuelle,Traction,Noir,Ben Arous,ADRESSE :TUNISIE AUTO PRIX EZZAHRA Sortie Autoroute Kiosque Shell EZZAHRA 2 Ben Arous 98560255
